,brand_name,brand_detail,brand_price,brand_discount
118,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
119,SFR,High Tops For Men,₹299,70% off
120,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
121,Elevarse,Slip On Sneakers For Men,₹249,72% off
122,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
123,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
124,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
125,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
126,KANEGGYE,Casuals For Men,₹499,50% off
127,RapidBox,Sneakers For Men,₹559,44% off
128,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
129,Nobelite,Sneakers For Men,₹289,71% off
130,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
131,RapidBox,Sneakers For Men,₹699,30% off
132,aadi,Running Shoes For Men,₹394,80% off
133,aadi,Sneakers For Men,₹299,85% off
134,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
135,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
136,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
137,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
138,KANEGGYE,Casuals For Men,₹499,50% off
139,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
140,BRUTON,Combo Fit-Man Red & Blue Loafers For Men,₹384,84% off
141,RapidBox,Sneakers For Men,₹559,44% off
142,AJANTA,Casual Loafers For Men,₹294,57% off
143,AJANTA,Casual Loafers For Men,₹294,57% off
144,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
145,Nobelite,Casuals For Men,₹279,79% off
146,ATOM,Sneakers For Men,"₹1,389",57% off
147,HOTSTYLE,Stylish & Trendy Loafers For Men,₹279,72% off
148,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
149,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
150,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
151,M7 By Metronaut,M7-22509-Zebra L.Grey Orange Running Shoes For Men,₹594,70% off
152,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
153,AJANTA,Casual Loafers For Men,₹294,57% off
154,KANEGGYE,Casuals For Men,₹499,50% off
155,SFR,High Tops For Men,₹299,70% off
156,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
157,BERSACHE,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,₹499,87% off
158,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
159,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
160,HOTSTYLE,Combo Pack Of 2 Running Shoes For Men,₹459,63% off
161,Elevarse,Slip On Sneakers For Men,₹249,72% off
162,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
163,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
164,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
165,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
166,KANEGGYE,Casuals For Men,₹499,50% off
167,RapidBox,Sneakers For Men,₹559,44% off
168,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
169,Nobelite,Sneakers For Men,₹289,71% off
170,asian,"asian Thunder-01 White Color Change Sneakers,Casuals,Lo...",₹724,57% off
171,ATOM,Sneakers For Men,"₹1,389",57% off
172,aadi,Running Shoes For Men,₹394,80% off
173,aadi,Sneakers For Men,₹299,85% off
174,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
175,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹249,87% off
176,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
177,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹299,70% off
178,KANEGGYE,Casuals For Men,₹499,50% off
179,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
180,BRUTON,Combo Fit-Man Red & Blue Loafers For Men,₹384,84% off
181,RapidBox,Sneakers For Men,₹559,44% off
182,AJANTA,Casual Loafers For Men,₹294,57% off
183,AJANTA,Casual Loafers For Men,₹294,57% off
184,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
185,Nobelite,Casuals For Men,₹279,79% off
186,HOTSTYLE,Stylish & Trendy Loafers For Men,₹279,72% off
187,M7 By Metronaut,M7-22509-Zebra L.Grey Orange Running Shoes For Men,₹594,70% off
188,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
189,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
190,CAMPUS,FIRST Running Shoes For Men,"₹1,379",27% off
191,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹499,75% off
192,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
193,AJANTA,Casual Loafers For Men,₹294,57% off
194,KANEGGYE,Casuals For Men,₹499,50% off
195,SFR,High Tops For Men,₹299,70% off
196,RapidBox,Sneakers For Men,₹699,30% off
197,aadi,Casuals For Men,₹294,70% off
198,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
199,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
200,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹199,80% off
201,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹249,87% off
202,BRUTON,Modern Trendy Shoes Sneakers For Men,₹249,80% off
203,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹299,70% off
204,Oidoribo,Casual Sneakers ColourFul Block Shoes For Boys And Snea...,₹336,66% off
205,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,78% off
206,HOTSTYLE,Trendy & Stylish Running Shoes For Men,₹229,77% off
207,aadi,Synthetic| Lightweight| Premiun| Comfort| Summer Tendy|...,₹399,80% off
208,aadi,Running Shoes For Men,₹394,80% off
209,aadi,Sneakers For Men,₹299,85% off
210,Nobelite,Sneakers For Men,₹289,71% off
211,jaipur trendcraft,Slip On For Men,₹349,65% off
212,Nobelite,Running Sports Latest Stylish Casual Lace up lightweigh...,₹249,82% off
213,aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,₹199,80% off
214,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
215,AJANTA,Casual Loafers For Men,₹294,57% off
216,Nobelite,Casuals For Men,₹279,79% off
217,asian,Sneakers For Men,₹724,57% off
218,AJANTA,Casual Loafers For Men,₹294,57% off
219,AJANTA,Casual Loafers For Men,₹294,57% off
220,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
221,jaipur trendcraft,"Men's Jalsa Jutti,Jutis For Men BLACK Slip On For Men",₹349,65% off
222,SFR,High Tops For Men,₹299,70% off
223,BRUTON,Combo Pack of 2 Sports Shoes Running Shoes For Men Runn...,₹399,84% off
224,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
225,Bata,Slip On For Men,₹659,40% off
226,BIRDE,Premium Sports Shoes for Men Walking Shoes For Men,₹249,75% off
227,CAMPUS,MIKE (N) Running Shoes For Men,"₹1,199",29% off
228,Bata,Loafers For Men,₹649,35% off
229,AJANTA,Casual Loafers For Men,₹294,57% off
230,asian,Captain-13 Running shoes for boys | sports shoes for me...,₹524,47% off
231,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
232,TR,Running / Walking / Sport Shoes For Men Running Shoes F...,₹299,70% off
233,HRX by Hrithik Roshan,VELOCITY Running Shoes For Men,"₹1,200",59% off
234,BRUTON,Trendy Men Sports Running Running Shoes For Men,₹249,80% off
